,Date,AirportName,PercentOfBaseline,Centroid.Latitute,Centroid.Longitude,City,State,ISO_3166_2,Country
57,2020/4/3,Kingsford Smith,64,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
58,2020/10/7,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
59,2020/7/18,Kingsford Smith,36,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
60,2020/4/7,Kingsford Smith,64,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
61,2020/10/10,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
62,2020/4/20,Kingsford Smith,60,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
63,2020/5/26,Kingsford Smith,53,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
64,2020/7/30,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
65,2020/9/8,Kingsford Smith,12,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
66,2020/5/13,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
67,2020/7/10,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
68,2020/7/14,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
69,2020/9/23,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
70,2020/8/27,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
71,2020/6/9,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
72,2020/7/15,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
73,2020/7/24,Kingsford Smith,35,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
74,2020/4/18,Kingsford Smith,32,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
75,2020/10/12,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
76,2020/8/3,Kingsford Smith,15,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
77,2020/7/1,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
78,2020/9/17,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
79,2020/5/30,Kingsford Smith,30,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
80,2020/6/20,Kingsford Smith,26,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
81,2020/9/3,Kingsford Smith,12,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
82,2020/7/29,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
83,2020/8/20,Kingsford Smith,13,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
84,2020/9/4,Kingsford Smith,15,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
85,2020/9/26,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
86,2020/5/20,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
87,2020/9/21,Kingsford Smith,15,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
88,2020/6/3,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
89,2020/4/9,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
90,2020/7/7,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
91,2020/4/14,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
92,2020/8/22,Kingsford Smith,27,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
93,2020/10/6,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
94,2020/7/9,Kingsford Smith,55,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
95,2020/8/25,Kingsford Smith,12,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
96,2020/5/9,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
97,2020/10/5,Kingsford Smith,10,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
98,2020/9/24,Kingsford Smith,15,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
99,2020/7/31,Kingsford Smith,25,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
100,2020/4/15,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
101,2020/9/9,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
102,2020/8/19,Kingsford Smith,20,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
103,2020/5/8,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
104,2020/7/2,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
105,2020/8/9,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
106,2020/4/8,Kingsford Smith,69,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
107,2020/5/24,Kingsford Smith,40,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
108,2020/3/21,Kingsford Smith,100,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
109,2020/9/25,Kingsford Smith,13,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
110,2020/8/24,Kingsford Smith,11,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
111,2020/8/6,Kingsford Smith,21,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
112,2020/3/20,Kingsford Smith,85,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
113,2020/4/29,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
114,2020/4/11,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
115,2020/5/22,Kingsford Smith,50,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
116,2020/10/4,Kingsford Smith,6,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
117,2020/9/11,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
118,2020/9/5,Kingsford Smith,27,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
119,2020/7/26,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
120,2020/7/4,Kingsford Smith,48,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
121,2020/4/22,Kingsford Smith,60,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
122,2020/4/21,Kingsford Smith,65,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
123,2020/4/5,Kingsford Smith,57,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
124,2020/9/10,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
125,2020/3/31,Kingsford Smith,71,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
126,2020/5/29,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
127,2020/10/1,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
128,2020/6/7,Kingsford Smith,21,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
129,2020/6/14,Kingsford Smith,55,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
130,2020/8/31,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
131,2020/6/12,Kingsford Smith,60,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
132,2020/10/3,Kingsford Smith,20,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
133,2020/5/18,Kingsford Smith,51,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
134,2020/4/26,Kingsford Smith,48,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
135,2020/7/21,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
136,2020/5/17,Kingsford Smith,43,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
137,2020/9/12,Kingsford Smith,29,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
138,2020/5/14,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
139,2020/9/30,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
140,2020/9/7,Kingsford Smith,11,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
141,2020/6/4,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
142,2020/4/1,Kingsford Smith,69,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
143,2020/5/2,Kingsford Smith,41,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
144,2020/8/8,Kingsford Smith,26,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
145,2020/3/17,Kingsford Smith,90,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
146,2020/5/11,Kingsford Smith,47,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
